trafficindexdate,minimum_traffic_index,maximum_traffic_index,average_traffic_index
2017-12-05 00:00:00 +0000 +0000,1,61,27.7500000000000000
2017-12-06 00:00:00 +0000 +0000,1,63,27.4444444444444444
2017-12-07 00:00:00 +0000 +0000,1,57,22.8739130434782609
2017-12-08 00:00:00 +0000 +0000,1,69,28.5672727272727273
2017-12-09 00:00:00 +0000 +0000,1,56,21.7003891050583658
2017-12-10 00:00:00 +0000 +0000,1,38,14.9497907949790795
2017-12-11 00:00:00 +0000 +0000,1,61,25.0433070866141732
2017-12-12 00:00:00 +0000 +0000,1,64,26.1126760563380282
2017-12-13 00:00:00 +0000 +0000,1,67,26.9964664310954064
2017-12-14 00:00:00 +0000 +0000,1,61,25.3941605839416058
2017-12-15 00:00:00 +0000 +0000,1,65,27.4877192982456140
2017-12-16 00:00:00 +0000 +0000,1,56,25.7403508771929825
2017-12-17 00:00:00 +0000 +0000,1,53,21.1859649122807018
2017-12-18 00:00:00 +0000 +0000,1,63,24.2195121951219512
2017-12-19 00:00:00 +0000 +0000,2,64,31.4125874125874126
2017-12-20 00:00:00 +0000 +0000,1,65,29.8432055749128920
2017-12-21 00:00:00 +0000 +0000,1,73,31.1480144404332130
2017-12-22 00:00:00 +0000 +0000,1,73,31.9581749049429658
2017-12-23 00:00:00 +0000 +0000,9,49,35.1442786069651741
2017-12-24 00:00:00 +0000 +0000,1,44,13.4027777777777778
2017-12-25 00:00:00 +0000 +0000,1,57,23.1118881118881119
2017-12-26 00:00:00 +0000 +0000,1,65,28.3588850174216028
2017-12-27 00:00:00 +0000 +0000,1,65,27.5598591549295775
2017-12-28 00:00:00 +0000 +0000,1,64,27.5594405594405594
2017-12-29 00:00:00 +0000 +0000,1,79,31.9821428571428571
2017-12-30 00:00:00 +0000 +0000,1,64,24.3194444444444444
2017-12-31 00:00:00 +0000 +0000,1,24,7.7595818815331010
2018-01-01 00:00:00 +0000 +0000,1,44,11.7942238267148014
2018-01-02 00:00:00 +0000 +0000,1,51,17.8140350877192982
2018-01-03 00:00:00 +0000 +0000,1,57,25.4634146341463415
2018-01-04 00:00:00 +0000 +0000,1,57,23.6411149825783972
2018-01-05 00:00:00 +0000 +0000,1,61,26.4335664335664336
2018-01-06 00:00:00 +0000 +0000,1,49,21.4773519163763066
2018-01-07 00:00:00 +0000 +0000,1,40,14.6515679442508711
2018-01-08 00:00:00 +0000 +0000,1,54,21.5644599303135889
2018-01-09 00:00:00 +0000 +0000,1,64,25.9755244755244755
2018-01-10 00:00:00 +0000 +0000,1,61,25.0731707317073171
2018-01-11 00:00:00 +0000 +0000,1,71,29.7132867132867133
2018-01-12 00:00:00 +0000 +0000,1,69,27.7727272727272727
2018-01-13 00:00:00 +0000 +0000,1,49,24.9860627177700348
2018-01-14 00:00:00 +0000 +0000,1,36,14.1219512195121951
2018-01-15 00:00:00 +0000 +0000,1,54,20.6585365853658537
2018-01-16 00:00:00 +0000 +0000,1,61,27.7526132404181185
2018-01-17 00:00:00 +0000 +0000,1,67,28.7630662020905923
2018-01-18 00:00:00 +0000 +0000,1,61,31.2334494773519164
2018-01-19 00:00:00 +0000 +0000,1,67,27.7972027972027972
2018-01-20 00:00:00 +0000 +0000,1,53,25.3041958041958042
2018-01-21 00:00:00 +0000 +0000,1,51,20.3541666666666667
2018-01-22 00:00:00 +0000 +0000,1,75,33.3671328671328671
2018-01-23 00:00:00 +0000 +0000,1,59,28.4699646643109541
2018-01-24 00:00:00 +0000 +0000,1,76,31.8461538461538462
2018-01-25 00:00:00 +0000 +0000,1,71,29.6118881118881119
2018-01-26 00:00:00 +0000 +0000,1,76,30.0777385159010601
2018-01-27 00:00:00 +0000 +0000,1,62,25.7017543859649123
2018-01-28 00:00:00 +0000 +0000,1,58,21.0279720279720280
2018-01-29 00:00:00 +0000 +0000,1,67,25.4475524475524476
2018-01-30 00:00:00 +0000 +0000,1,72,29.0209790209790210
2018-01-31 00:00:00 +0000 +0000,1,74,30.0492957746478873
2018-02-01 00:00:00 +0000 +0000,1,74,30.6877192982456140
2018-02-02 00:00:00 +0000 +0000,1,74,28.6748251748251748
2018-02-03 00:00:00 +0000 +0000,1,56,24.8140350877192982
2018-02-04 00:00:00 +0000 +0000,1,62,21.7438596491228070
2018-02-05 00:00:00 +0000 +0000,1,62,23.7147887323943662
2018-02-06 00:00:00 +0000 +0000,1,63,25.6968641114982578
2018-02-07 00:00:00 +0000 +0000,1,69,26.1433566433566434
2018-02-08 00:00:00 +0000 +0000,1,69,30.6175438596491228
2018-02-09 00:00:00 +0000 +0000,1,63,27.4140350877192982
2018-02-10 00:00:00 +0000 +0000,1,62,25.6864111498257840
2018-02-11 00:00:00 +0000 +0000,1,56,20.1993006993006993
2018-02-12 00:00:00 +0000 +0000,1,65,23.6468531468531469
2018-02-13 00:00:00 +0000 +0000,1,65,25.0804195804195804
2018-02-14 00:00:00 +0000 +0000,1,80,31.0836236933797909
2018-02-15 00:00:00 +0000 +0000,1,62,26.2377622377622378
2018-02-16 00:00:00 +0000 +0000,1,74,31.8531468531468531
2018-02-17 00:00:00 +0000 +0000,2,45,23.2842105263157895
2018-02-18 00:00:00 +0000 +0000,1,45,16.4895104895104895
2018-02-19 00:00:00 +0000 +0000,1,58,23.1608391608391608
2018-02-20 00:00:00 +0000 +0000,2,62,28.3591549295774648
2018-02-21 00:00:00 +0000 +0000,1,63,25.7202797202797203
2018-02-22 00:00:00 +0000 +0000,1,58,25.2429577464788732
2018-02-23 00:00:00 +0000 +0000,1,69,29.0244755244755245
2018-02-24 00:00:00 +0000 +0000,1,47,22.6631578947368421
2018-02-25 00:00:00 +0000 +0000,8,47,21.1293706293706294
2018-02-26 00:00:00 +0000 +0000,1,63,25.9721254355400697
2018-02-27 00:00:00 +0000 +0000,2,69,31.4580419580419580
2018-02-28 00:00:00 +0000 +0000,1,71,28.2454212454212454
2018-03-01 00:00:00 +0000 +0000,4,62,27.7298245614035088
2018-03-02 00:00:00 +0000 +0000,1,65,27.6593406593406593
2018-03-03 00:00:00 +0000 +0000,6,60,24.2996389891696751
2018-03-04 00:00:00 +0000 +0000,4,47,19.4720279720279720
2018-03-05 00:00:00 +0000 +0000,1,58,23.8501742160278746
2018-03-06 00:00:00 +0000 +0000,4,60,31.0701754385964912
2018-03-07 00:00:00 +0000 +0000,1,63,27.7816901408450704
2018-03-08 00:00:00 +0000 +0000,1,71,34.0982456140350877
2018-03-09 00:00:00 +0000 +0000,2,63,28.5400696864111498
2018-03-10 00:00:00 +0000 +0000,1,53,26.4912891986062718
2018-03-11 00:00:00 +0000 +0000,1,47,20.5261324041811847
2018-03-12 00:00:00 +0000 +0000,1,58,25.4773519163763066
2018-03-13 00:00:00 +0000 +0000,1,62,29.4930069930069930
2018-03-14 00:00:00 +0000 +0000,1,62,28.2350877192982456
2018-03-15 00:00:00 +0000 +0000,1,65,30.1219512195121951
2018-03-16 00:00:00 +0000 +0000,1,63,30.1533101045296167
2018-03-17 00:00:00 +0000 +0000,1,51,24.0209790209790210
2018-03-18 00:00:00 +0000 +0000,1,40,18.4678571428571429
2018-03-19 00:00:00 +0000 +0000,4,62,25.5400696864111498
2018-03-20 00:00:00 +0000 +0000,1,63,28.6411149825783972
2018-03-21 00:00:00 +0000 +0000,1,62,26.7657342657342657
2018-03-22 00:00:00 +0000 +0000,1,69,33.9473684210526316
2018-03-23 00:00:00 +0000 +0000,1,60,29.0592334494773519
2018-03-24 00:00:00 +0000 +0000,1,51,26.5867158671586716
2018-03-25 00:00:00 +0000 +0000,1,45,19.7979094076655052
2018-03-26 00:00:00 +0000 +0000,1,54,22.1045296167247387
2018-03-27 00:00:00 +0000 +0000,2,71,31.8350877192982456
2018-03-28 00:00:00 +0000 +0000,2,63,27.5087108013937282
2018-03-29 00:00:00 +0000 +0000,6,58,30.7929824561403509
2018-03-30 00:00:00 +0000 +0000,1,67,29.6197183098591549
2018-03-31 00:00:00 +0000 +0000,1,49,24.3321678321678322
2018-04-01 00:00:00 +0000 +0000,1,49,20.9790940766550523
2018-04-02 00:00:00 +0000 +0000,2,62,28.5370370370370370
2018-04-03 00:00:00 +0000 +0000,2,60,28.3797909407665505
2018-04-04 00:00:00 +0000 +0000,1,60,28.6250000000000000
2018-04-05 00:00:00 +0000 +0000,1,63,28.9444444444444444
2018-04-06 00:00:00 +0000 +0000,1,67,30.8989547038327526
2018-04-07 00:00:00 +0000 +0000,1,54,27.4166666666666667
2018-04-08 00:00:00 +0000 +0000,1,49,22.4878048780487805
2018-04-09 00:00:00 +0000 +0000,1,60,26.3797909407665505
2018-04-10 00:00:00 +0000 +0000,1,58,28.2569444444444444
2018-04-11 00:00:00 +0000 +0000,1,63,28.5489510489510490
2018-04-12 00:00:00 +0000 +0000,1,62,28.6515679442508711
2018-04-13 00:00:00 +0000 +0000,1,69,31.8181818181818182
2018-04-14 00:00:00 +0000 +0000,1,54,28.0627177700348432
2018-04-15 00:00:00 +0000 +0000,1,53,24.0868055555555556
2018-04-16 00:00:00 +0000 +0000,1,56,25.4146341463414634
2018-04-17 00:00:00 +0000 +0000,1,62,27.7877697841726619
2018-04-18 00:00:00 +0000 +0000,1,60,27.9790940766550523
2018-04-19 00:00:00 +0000 +0000,1,62,28.6923076923076923
2018-04-20 00:00:00 +0000 +0000,1,71,36.2881944444444444
2018-04-21 00:00:00 +0000 +0000,1,54,28.3993055555555556
2018-04-22 00:00:00 +0000 +0000,1,45,23.6445993031358885
2018-04-23 00:00:00 +0000 +0000,1,38,17.3576388888888889
2018-04-24 00:00:00 +0000 +0000,1,58,24.6235294117647059
2018-04-25 00:00:00 +0000 +0000,1,58,26.2951388888888889
2018-04-26 00:00:00 +0000 +0000,1,60,28.4425087108013937
2018-04-27 00:00:00 +0000 +0000,1,67,30.6041666666666667
2018-04-28 00:00:00 +0000 +0000,1,54,28.0173611111111111
2018-04-29 00:00:00 +0000 +0000,1,44,20.6267605633802817
2018-04-30 00:00:00 +0000 +0000,1,54,23.4946619217081851
2018-05-01 00:00:00 +0000 +0000,1,24,12.1909722222222222
2018-05-02 00:00:00 +0000 +0000,1,67,27.7465277777777778
2018-05-03 00:00:00 +0000 +0000,1,63,29.1951219512195122
2018-05-04 00:00:00 +0000 +0000,1,67,31.8120567375886525
2018-05-05 00:00:00 +0000 +0000,1,56,27.2299651567944251
2018-05-06 00:00:00 +0000 +0000,1,51,23.1319444444444444
2018-05-07 00:00:00 +0000 +0000,1,62,30.9094076655052265
2018-05-08 00:00:00 +0000 +0000,1,56,25.3194444444444444
2018-05-09 00:00:00 +0000 +0000,2,58,30.7307692307692308
2018-05-10 00:00:00 +0000 +0000,6,63,31.3461538461538462
2018-05-11 00:00:00 +0000 +0000,1,72,32.7256944444444444
2018-05-12 00:00:00 +0000 +0000,2,62,32.8566433566433566
2018-05-13 00:00:00 +0000 +0000,1,53,27.0975609756097561
2018-05-14 00:00:00 +0000 +0000,1,60,27.5000000000000000
2018-05-15 00:00:00 +0000 +0000,1,63,29.1293706293706294
2018-05-16 00:00:00 +0000 +0000,1,54,21.1130742049469965
2018-05-17 00:00:00 +0000 +0000,1,51,20.9442508710801394
2018-05-18 00:00:00 +0000 +0000,1,69,30.7447552447552448
2018-05-19 00:00:00 +0000 +0000,1,29,13.5139860139860140
2018-05-20 00:00:00 +0000 +0000,1,27,8.1846689895470383
2018-05-21 00:00:00 +0000 +0000,1,53,20.6562500000000000
2018-05-22 00:00:00 +0000 +0000,1,62,23.4475524475524476
2018-05-23 00:00:00 +0000 +0000,1,54,20.8229166666666667
2018-05-24 00:00:00 +0000 +0000,1,56,22.1118881118881119
2018-05-25 00:00:00 +0000 +0000,1,62,25.1254355400696864
2018-05-26 00:00:00 +0000 +0000,1,40,18.1153846153846154
2018-05-27 00:00:00 +0000 +0000,1,33,10.9270833333333333
2018-05-28 00:00:00 +0000 +0000,1,56,20.9722222222222222
2018-05-29 00:00:00 +0000 +0000,1,56,23.6515679442508711
2018-05-30 00:00:00 +0000 +0000,1,58,22.5868055555555556
2018-05-31 00:00:00 +0000 +0000,1,60,23.4878048780487805
2018-06-01 00:00:00 +0000 +0000,1,63,25.2291666666666667
2018-06-02 00:00:00 +0000 +0000,1,51,20.2508710801393728
2018-06-03 00:00:00 +0000 +0000,1,45,12.3205574912891986
2018-06-04 00:00:00 +0000 +0000,1,56,23.5833333333333333
2018-06-05 00:00:00 +0000 +0000,1,60,25.1643356643356643
2018-06-06 00:00:00 +0000 +0000,1,60,24.7847222222222222
2018-06-07 00:00:00 +0000 +0000,1,62,25.8298611111111111
2018-06-08 00:00:00 +0000 +0000,1,67,27.7107142857142857
2018-06-09 00:00:00 +0000 +0000,1,42,19.7754385964912281
2018-06-10 00:00:00 +0000 +0000,1,40,10.3402777777777778
2018-06-11 00:00:00 +0000 +0000,1,58,24.0243055555555556
2018-06-12 00:00:00 +0000 +0000,1,58,24.6062717770034843
2018-06-13 00:00:00 +0000 +0000,1,65,29.1602787456445993
2018-06-14 00:00:00 +0000 +0000,1,47,14.8954703832752613
2018-06-15 00:00:00 +0000 +0000,1,58,24.9513888888888889
2018-06-16 00:00:00 +0000 +0000,1,62,26.2961672473867596
2018-06-17 00:00:00 +0000 +0000,1,56,20.4396887159533074
2018-06-18 00:00:00 +0000 +0000,1,49,17.5659722222222222
2018-06-19 00:00:00 +0000 +0000,1,51,23.4929577464788732
2018-06-20 00:00:00 +0000 +0000,1,58,23.9052631578947368
2018-06-21 00:00:00 +0000 +0000,1,60,26.1223776223776224
2018-06-22 00:00:00 +0000 +0000,1,63,27.5174825174825175
2018-06-23 00:00:00 +0000 +0000,1,49,24.1916376306620209
2018-06-24 00:00:00 +0000 +0000,1,36,10.6083916083916084
2018-06-25 00:00:00 +0000 +0000,1,63,25.1076388888888889
2018-06-26 00:00:00 +0000 +0000,1,47,21.6794425087108014
2018-06-27 00:00:00 +0000 +0000,1,58,26.2077464788732394
2018-06-28 00:00:00 +0000 +0000,1,65,31.0982456140350877
2018-06-29 00:00:00 +0000 +0000,2,67,30.3943661971830986
2018-06-30 00:00:00 +0000 +0000,1,54,25.5944055944055944
2018-07-01 00:00:00 +0000 +0000,1,40,18.7797202797202797
2018-07-02 00:00:00 +0000 +0000,1,60,27.0277777777777778
2018-07-03 00:00:00 +0000 +0000,1,60,27.3310104529616725
2018-07-04 00:00:00 +0000 +0000,1,62,27.8706293706293706
2018-07-05 00:00:00 +0000 +0000,1,63,27.8714285714285714
2018-07-06 00:00:00 +0000 +0000,1,65,30.1114982578397213
2018-07-07 00:00:00 +0000 +0000,1,42,23.0209059233449477
2018-07-08 00:00:00 +0000 +0000,1,35,15.6794425087108014
2018-07-09 00:00:00 +0000 +0000,1,51,23.6774193548387097
2018-07-10 00:00:00 +0000 +0000,1,53,23.3728222996515679
2018-07-11 00:00:00 +0000 +0000,1,53,23.4652777777777778
2018-07-12 00:00:00 +0000 +0000,1,54,23.8149466192170819
2018-07-13 00:00:00 +0000 +0000,1,60,26.3993055555555556
2018-07-14 00:00:00 +0000 +0000,1,42,22.0729166666666667
2018-07-15 00:00:00 +0000 +0000,1,35,14.7377622377622378
2018-07-16 00:00:00 +0000 +0000,1,51,25.0729166666666667
2018-07-17 00:00:00 +0000 +0000,1,54,23.4181184668989547
2018-07-18 00:00:00 +0000 +0000,1,56,24.7307692307692308
2018-07-19 00:00:00 +0000 +0000,1,53,22.4111498257839721
2018-07-20 00:00:00 +0000 +0000,1,54,24.2777777777777778
2018-07-21 00:00:00 +0000 +0000,1,44,19.8710801393728223
2018-07-22 00:00:00 +0000 +0000,1,27,12.6875000000000000
2018-07-23 00:00:00 +0000 +0000,1,51,22.6097560975609756
2018-07-24 00:00:00 +0000 +0000,4,56,28.6140350877192982
2018-07-25 00:00:00 +0000 +0000,1,53,23.7291666666666667
2018-07-26 00:00:00 +0000 +0000,1,54,24.5034722222222222
2018-07-27 00:00:00 +0000 +0000,1,71,27.3135888501742160
2018-07-28 00:00:00 +0000 +0000,1,36,17.7743055555555556
2018-07-29 00:00:00 +0000 +0000,1,27,12.3368055555555556
2018-07-30 00:00:00 +0000 +0000,1,56,23.2359154929577465
2018-07-31 00:00:00 +0000 +0000,1,54,23.0694444444444444
2018-08-01 00:00:00 +0000 +0000,1,58,25.3693379790940767
2018-08-02 00:00:00 +0000 +0000,1,56,25.5191637630662021
2018-08-03 00:00:00 +0000 +0000,1,62,27.0836236933797909
2018-08-04 00:00:00 +0000 +0000,1,38,20.7630662020905923
2018-08-05 00:00:00 +0000 +0000,1,27,13.6111111111111111
2018-08-06 00:00:00 +0000 +0000,1,54,23.6079136690647482
2018-08-07 00:00:00 +0000 +0000,1,54,24.3728222996515679
2018-08-08 00:00:00 +0000 +0000,1,60,26.0798611111111111
2018-08-09 00:00:00 +0000 +0000,1,60,26.4826388888888889
2018-08-10 00:00:00 +0000 +0000,1,60,27.4687500000000000
2018-08-11 00:00:00 +0000 +0000,1,35,19.2062937062937063
2018-08-12 00:00:00 +0000 +0000,1,27,12.4355400696864111
2018-08-13 00:00:00 +0000 +0000,1,47,21.4390243902439024
2018-08-14 00:00:00 +0000 +0000,1,56,24.1608391608391608
2018-08-15 00:00:00 +0000 +0000,1,56,25.8078431372549020
2018-08-16 00:00:00 +0000 +0000,1,58,26.0243902439024390
2018-08-17 00:00:00 +0000 +0000,1,49,26.0383275261324042
2018-08-18 00:00:00 +0000 +0000,1,27,15.9755244755244755
2018-08-19 00:00:00 +0000 +0000,1,17,5.9821428571428571
2018-08-20 00:00:00 +0000 +0000,1,13,4.3449477351916376
2018-08-21 00:00:00 +0000 +0000,1,22,7.1272727272727273
2018-08-22 00:00:00 +0000 +0000,1,27,10.8397212543554007
2018-08-23 00:00:00 +0000 +0000,1,20,7.9895833333333333
2018-08-24 00:00:00 +0000 +0000,1,17,6.8298611111111111
2018-08-25 00:00:00 +0000 +0000,1,17,6.7534722222222222
2018-08-26 00:00:00 +0000 +0000,1,15,5.9685314685314685
2018-08-27 00:00:00 +0000 +0000,1,42,15.3462897526501767
2018-08-28 00:00:00 +0000 +0000,1,47,19.6538461538461538
2018-08-29 00:00:00 +0000 +0000,1,53,22.5937500000000000
2018-08-30 00:00:00 +0000 +0000,1,24,12.6968641114982578
2018-08-31 00:00:00 +0000 +0000,1,53,22.6914893617021277
2018-09-01 00:00:00 +0000 +0000,1,44,19.8993055555555556
2018-09-02 00:00:00 +0000 +0000,1,35,15.4125874125874126
2018-09-03 00:00:00 +0000 +0000,1,58,25.1324041811846690
2018-09-04 00:00:00 +0000 +0000,1,62,27.7847222222222222
2018-09-05 00:00:00 +0000 +0000,1,67,30.0348432055749129
2018-09-06 00:00:00 +0000 +0000,1,60,28.1877256317689531
2018-09-07 00:00:00 +0000 +0000,1,49,21.9384615384615385
2018-09-08 00:00:00 +0000 +0000,11,60,37.4530386740331492
2018-09-09 00:00:00 +0000 +0000,1,40,17.8954703832752613
2018-09-10 00:00:00 +0000 +0000,1,56,24.3074074074074074
2018-09-11 00:00:00 +0000 +0000,1,54,25.5229681978798587
2018-09-12 00:00:00 +0000 +0000,1,60,25.2508710801393728
2018-09-13 00:00:00 +0000 +0000,1,72,28.8140350877192982
2018-09-14 00:00:00 +0000 +0000,9,65,34.5574912891986063
2018-09-15 00:00:00 +0000 +0000,1,54,24.8292682926829268
2018-09-16 00:00:00 +0000 +0000,1,44,18.4131944444444444
2018-09-17 00:00:00 +0000 +0000,1,51,21.2604166666666667
2018-09-18 00:00:00 +0000 +0000,1,56,23.2810218978102190
2018-09-19 00:00:00 +0000 +0000,1,58,23.5609756097560976
2018-09-20 00:00:00 +0000 +0000,1,58,24.9543859649122807
2018-09-21 00:00:00 +0000 +0000,1,60,25.4487179487179487
2018-09-22 00:00:00 +0000 +0000,24,53,39.6052631578947368
2018-09-23 00:00:00 +0000 +0000,1,47,19.3611111111111111
2018-09-24 00:00:00 +0000 +0000,1,58,23.3906810035842294
2018-09-25 00:00:00 +0000 +0000,2,65,31.6933797909407666
2018-09-26 00:00:00 +0000 +0000,1,72,32.3554006968641115
2018-09-27 00:00:00 +0000 +0000,2,60,28.7018181818181818
2018-09-28 00:00:00 +0000 +0000,1,58,25.9300699300699301
2018-09-29 00:00:00 +0000 +0000,1,53,23.3819444444444444
2018-09-30 00:00:00 +0000 +0000,1,36,17.0139372822299652
2018-10-01 00:00:00 +0000 +0000,2,56,25.4491228070175439
2018-10-02 00:00:00 +0000 +0000,1,58,26.5694444444444444
2018-10-03 00:00:00 +0000 +0000,1,58,23.5679442508710801
2018-10-04 00:00:00 +0000 +0000,1,58,27.9873949579831933
2018-10-05 00:00:00 +0000 +0000,1,65,27.6284722222222222
2018-10-06 00:00:00 +0000 +0000,1,56,23.9790940766550523
2018-10-07 00:00:00 +0000 +0000,1,49,19.7777777777777778
2018-10-08 00:00:00 +0000 +0000,1,56,21.7212543554006969
2018-10-09 00:00:00 +0000 +0000,1,56,23.5138888888888889
2018-10-10 00:00:00 +0000 +0000,1,63,24.7777777777777778
2018-10-11 00:00:00 +0000 +0000,1,67,29.0659722222222222
2018-10-12 00:00:00 +0000 +0000,1,65,26.1293706293706294
2018-10-13 00:00:00 +0000 +0000,1,51,23.6411149825783972
2018-10-14 00:00:00 +0000 +0000,1,47,18.2195121951219512
2018-10-15 00:00:00 +0000 +0000,1,58,23.1289198606271777
2018-10-16 00:00:00 +0000 +0000,1,60,25.4140350877192982
2018-10-17 00:00:00 +0000 +0000,2,62,26.8566433566433566
2018-10-18 00:00:00 +0000 +0000,1,65,28.1742160278745645
2018-10-19 00:00:00 +0000 +0000,1,63,24.9756097560975610
2018-10-20 00:00:00 +0000 +0000,1,53,23.3414634146341463
2018-10-21 00:00:00 +0000 +0000,1,44,16.8020833333333333
2018-10-22 00:00:00 +0000 +0000,1,56,22.2315789473684211
2018-10-23 00:00:00 +0000 +0000,1,56,23.2132867132867133
2018-10-24 00:00:00 +0000 +0000,1,60,23.7951388888888889
2018-10-25 00:00:00 +0000 +0000,2,65,31.2986111111111111
2018-10-26 00:00:00 +0000 +0000,1,71,28.7770034843205575
2018-10-27 00:00:00 +0000 +0000,1,54,25.0522648083623693
2018-10-28 00:00:00 +0000 +0000,1,47,17.7741935483870968
2018-10-29 00:00:00 +0000 +0000,1,36,14.4006968641114983
2018-10-30 00:00:00 +0000 +0000,1,58,22.9409722222222222
2018-10-31 00:00:00 +0000 +0000,1,58,24.2152777777777778
2018-11-01 00:00:00 +0000 +0000,1,65,26.1805555555555556
2018-11-02 00:00:00 +0000 +0000,1,71,26.5759717314487633
2018-11-03 00:00:00 +0000 +0000,1,56,22.7708333333333333
2018-11-04 00:00:00 +0000 +0000,1,47,16.5261324041811847
2018-11-05 00:00:00 +0000 +0000,1,60,23.6132404181184669
2018-11-06 00:00:00 +0000 +0000,1,60,26.2777777777777778
2018-11-07 00:00:00 +0000 +0000,1,60,25.2822299651567944
2018-11-08 00:00:00 +0000 +0000,1,65,27.3832752613240418
2018-11-09 00:00:00 +0000 +0000,1,67,29.0209059233449477
2018-11-10 00:00:00 +0000 +0000,1,53,24.6898954703832753
2018-11-11 00:00:00 +0000 +0000,1,63,28.8954703832752613
2018-11-12 00:00:00 +0000 +0000,1,60,23.4808362369337979
2018-11-13 00:00:00 +0000 +0000,2,62,28.7630662020905923
2018-11-14 00:00:00 +0000 +0000,2,65,28.5937500000000000
2018-11-15 00:00:00 +0000 +0000,1,80,37.5749128919860627
2018-11-16 00:00:00 +0000 +0000,9,74,35.1006944444444444
2018-11-17 00:00:00 +0000 +0000,1,56,25.0069444444444444
2018-11-18 00:00:00 +0000 +0000,1,51,22.3519163763066202
2018-11-19 00:00:00 +0000 +0000,1,76,33.1500000000000000
2018-11-20 00:00:00 +0000 +0000,1,65,25.4826388888888889
2018-11-21 00:00:00 +0000 +0000,1,63,26.1908127208480565
2018-11-22 00:00:00 +0000 +0000,2,72,33.2090592334494774
2018-11-23 00:00:00 +0000 +0000,1,90,29.4028268551236749
2018-11-24 00:00:00 +0000 +0000,2,53,23.7605633802816901
2018-11-25 00:00:00 +0000 +0000,1,40,13.9270833333333333
2018-11-26 00:00:00 +0000 +0000,1,72,27.2132867132867133
2018-11-27 00:00:00 +0000 +0000,1,62,26.4861111111111111
2018-11-28 00:00:00 +0000 +0000,1,76,37.1423611111111111
2018-11-29 00:00:00 +0000 +0000,13,76,40.4876325088339223
2018-11-30 00:00:00 +0000 +0000,11,78,38.9201388888888889
2018-12-01 00:00:00 +0000 +0000,1,51,22.0836236933797909
2018-12-02 00:00:00 +0000 +0000,1,36,14.1045296167247387
2018-12-03 00:00:00 +0000 +0000,1,63,23.8993055555555556
2018-12-04 00:00:00 +0000 +0000,1,62,25.3623693379790941
2018-12-05 00:00:00 +0000 +0000,2,71,35.0284360189573460
2018-12-06 00:00:00 +0000 +0000,4,71,38.7924528301886792
2018-12-07 00:00:00 +0000 +0000,1,71,28.3943661971830986
2018-12-08 00:00:00 +0000 +0000,1,58,24.5419580419580420
2018-12-09 00:00:00 +0000 +0000,1,44,15.5069444444444444
2018-12-10 00:00:00 +0000 +0000,1,74,30.9825174825174825
2018-12-11 00:00:00 +0000 +0000,1,65,29.7083333333333333
2018-12-12 00:00:00 +0000 +0000,1,60,29.0212765957446809
2018-12-13 00:00:00 +0000 +0000,1,63,26.5034722222222222
2018-12-14 00:00:00 +0000 +0000,1,65,25.6655052264808362
2018-12-15 00:00:00 +0000 +0000,1,51,22.1631944444444444
2018-12-16 00:00:00 +0000 +0000,1,40,14.9027777777777778
2018-12-17 00:00:00 +0000 +0000,1,65,26.5454545454545455
2018-12-18 00:00:00 +0000 +0000,1,80,36.7087719298245614
2018-12-19 00:00:00 +0000 +0000,9,71,37.2272727272727273
2018-12-20 00:00:00 +0000 +0000,4,60,25.9756944444444444
2018-12-21 00:00:00 +0000 +0000,1,69,27.0833333333333333
2018-12-22 00:00:00 +0000 +0000,1,51,22.4982456140350877
2018-12-23 00:00:00 +0000 +0000,1,44,16.4440559440559441
2018-12-24 00:00:00 +0000 +0000,1,65,27.3715277777777778
2018-12-25 00:00:00 +0000 +0000,8,71,36.2881944444444444
2018-12-26 00:00:00 +0000 +0000,1,60,28.1328671328671329
2018-12-27 00:00:00 +0000 +0000,2,63,27.4965034965034965
2018-12-28 00:00:00 +0000 +0000,1,72,29.6713286713286713
2018-12-29 00:00:00 +0000 +0000,1,63,30.2361111111111111
2018-12-30 00:00:00 +0000 +0000,1,35,14.7832167832167832
2018-12-31 00:00:00 +0000 +0000,1,56,17.9788732394366197
2019-01-01 00:00:00 +0000 +0000,1,31,10.7743055555555556
2019-01-02 00:00:00 +0000 +0000,1,58,24.2682926829268293
2019-01-03 00:00:00 +0000 +0000,1,69,30.2299651567944251
2019-01-04 00:00:00 +0000 +0000,8,60,28.0557491289198606
2019-01-05 00:00:00 +0000 +0000,2,51,25.3964912280701754
2019-01-06 00:00:00 +0000 +0000,1,24,10.9094076655052265
2019-01-07 00:00:00 +0000 +0000,9,67,28.5243055555555556
2019-01-08 00:00:00 +0000 +0000,9,58,28.8020833333333333
2019-01-09 00:00:00 +0000 +0000,6,58,26.8846153846153846
2019-01-10 00:00:00 +0000 +0000,6,60,28.1637630662020906
2019-01-11 00:00:00 +0000 +0000,4,74,36.7386759581881533
2019-01-12 00:00:00 +0000 +0000,6,54,28.3298245614035088
2019-01-13 00:00:00 +0000 +0000,1,29,12.2648083623693380
2019-01-14 00:00:00 +0000 +0000,1,56,21.3888888888888889
2019-01-15 00:00:00 +0000 +0000,6,76,34.0279720279720280
2019-01-16 00:00:00 +0000 +0000,2,63,26.0070175438596491
2019-01-17 00:00:00 +0000 +0000,2,65,26.9337979094076655
2019-01-18 00:00:00 +0000 +0000,1,67,27.1184668989547038
